14260,"Boise City-Nampa, ID",760,3718944,4932488,34.44
14300,"Bonham, TX",72,249800,271320,8.84
14340,"Boone, IA",56,209648,210448,0.48
14380,"Boone, NC",104,341472,408632,17.33
14420,"Borger, TX",56,190888,177200,-8.41
14460,"Boston-Cambridge-Quincy, MA-NH",8056,35140392,36419216,5.89
14500,"Boulder, CO",544,2158352,2356536,21.93
14540,"Bowling Green, KY",224,833480,1007624,22.92
14580,"Bozeman, MT",176,542728,716104,34.9
14620,"Bradford, PA",96,367280,347600,-5.76
14660,"Brainerd, MN",208,657064,728536,9.86
14700,"Branson, MO",128,546272,671016,22.93
14740,"Bremerton-Silverdale, WA",440,1855832,2009064,38.15
14780,"Brenham, TX",48,243288,269744,11.1
14820,"Brevard, NC",56,234528,264720,13.22
14860,"Bridgeport-Stamford-Norwalk, CT",1688,7061176,7334632,3.85
14940,"Brigham City, UT",88,341992,399800,18.19
15020,"Brookhaven, MS",48,265488,278952,4.9
15060,"Brookings, OR",48,169176,178912,4.69
15100,"Brookings, SD",48,225864,255720,17.29
15140,"Brownsville, TN",48,158320,150296,-5.41
15180,"Brownsville-Harlingen, TX",696,2679072,3249760,20.1
15220,"Brownwood, TX",96,301344,304848,0.62
15260,"Brunswick, GA",192,744200,898960,15.41
15340,"Bucyrus, OH",104,375256,350272,-6.42
15380,"Buffalo-Niagara Falls, NY",2392,9360168,9084072,-2.68
15420,"Burley, ID",88,332536,344168,3.82
15460,"Burlington, IA-IL",112,404232,381248,-5.43
15500,"Burlington, NC",288,1046072,1209048,17.01
15540,"Burlington-South Burlington, VT",376,1591216,1690088,4.26
15580,"Butte-Silver Bow, MT",64,277032,273600,-1.2
15620,"Cadillac, MI",96,359584,380672,4.91
15660,"Calhoun, GA",72,352760,441488,26.49
15700,"Cambridge, MD",80,245352,260944,3.57
15740,"Cambridge, OH",80,326504,320696,-2.06
15780,"Camden, AR",64,276048,251904,-8.42
15820,"Campbellsville, KY",40,183096,196096,6.78
15860,"Cañon City, CO",112,369120,374592,111.81
15900,"Canton, IL",96,305952,296552,-3.32
15940,"Canton-Massillon, OH",744,3255800,3235376,-1.05
15980,"Cape Coral-Fort Myers, FL",1336,3527280,4950032,481.37
16020,"Cape Girardeau-Jackson, MO-IL",184,722288,770200,3.82
